"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354","Get object","tests","Sat Sep 13 15:11:24 GMT 2025","passed","Sat Sep 13 15:11:25 GMT 2025","","test_objects","",""
"","392","Create object","tests","Sat Sep 13 15:11:23 GMT 2025","passed","Sat Sep 13 15:11:24 GMT 2025","","test_objects","",""
"","753","Delete object","tests","Sat Sep 13 15:11:26 GMT 2025","passed","Sat Sep 13 15:11:27 GMT 2025","","test_objects","",""
"","367","Update object","tests","Sat Sep 13 15:11:25 GMT 2025","passed","Sat Sep 13 15:11:26 GMT 2025","","test_objects","",""
