"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","795","Delete object","tests","Sat Sep 13 15:36:21 GMT 2025","passed","Sat Sep 13 15:36:22 GMT 2025","","test_objects","",""
"","386","Update object","tests","Sat Sep 13 15:36:20 GMT 2025","passed","Sat Sep 13 15:36:21 GMT 2025","","test_objects","",""
"","355","Get object","tests","Sat Sep 13 15:36:19 GMT 2025","passed","Sat Sep 13 15:36:19 GMT 2025","","test_objects","",""
"","503","Create object","tests","Sat Sep 13 15:36:18 GMT 2025","passed","Sat Sep 13 15:36:19 GMT 2025","","test_objects","",""
